timestamp,joint_1,joint_2,joint_3,joint_4,joint_5,joint_6
3.600120544433594e-05,0.00019073777366429567,0.17414358258247375,-0.0871671661734581,-0.00019073777366429567,-0.00019073777366429567,-0.00019073777366429567
0.02014756202697754,0.00019073777366429567,0.15392538905143738,-0.07953765243291855,0.00019073777366429567,-0.000572213320992887,-0.00019073777366429567
0.0402681827545166,-0.00019073777366429567,0.13027389347553253,-0.06733043491840363,0.00019073777366429567,0.000572213320992887,-0.00019073777366429567
0.060278892517089844,-0.00019073777366429567,0.11310750246047974,-0.06084534898400307,0.00019073777366429567,0.0013351644156500697,-0.00019073777366429567
0.08035445213317871,0.00019073777366429567,0.10662241280078888,-0.057793546468019485,0.00019073777366429567,0.00019073777366429567,-0.00019073777366429567
0.10043215751647949,0.0032425422687083483,0.08182650804519653,-0.04482337832450867,0.0013351644156500697,-0.001716639962978661,0.00019073777366429567
0.12049460411071777,0.00476844422519207,0.06046387553215027,-0.03490501269698143,0.0036240178160369396,0.0024795911740511656,0.000572213320992887
0.14066767692565918,0.007057297509163618,0.042153049260377884,-0.023079270496964455,0.007438773289322853,0.001716639962978661,0.0013351644156500697
0.1606752872467041,0.009727626107633114,0.026131074875593185,-0.016212711110711098,0.009346150793135166,0.0020981156267225742,0.0024795911740511656
0.18074703216552734,0.009727626107633114,-0.0036240178160369396,-0.0013351644156500697,0.01506828423589468,0.004005493130534887,0.0036240178160369396
0.20079731941223145,0.01125352829694748,-0.03490501269698143,0.01125352829694748,0.019645990803837776,0.014686808921396732,0.00476844422519207
0.2208855152130127,0.015449759550392628,-0.05207141116261482,0.020027466118335724,0.02384222112596035,0.012397955171763897,0.005531395319849253
0.24103498458862305,0.016212711110711098,-0.08487831056118011,0.03299763426184654,0.02841992862522602,0.019645990803837776,0.008201723918318748
0.2610585689544678,0.016212711110711098,-0.11272602528333664,0.043678950518369675,0.03299763426184654,0.027656977996230125,0.009727626107633114
0.28122663497924805,0.02040894143283367,-0.14362554252147675,0.05664911866188049,0.040627144277095795,0.03528648987412453,0.012779430486261845
0.3012669086456299,0.024223696440458298,-0.1684214472770691,0.06389715522527695,0.045204851776361465,0.035667963325977325,0.01583123579621315
0.3213338851928711,0.024605173617601395,-0.20351719856262207,0.07839322835206985,0.05207141116261482,0.039101243019104004,0.016975661739706993
0.34139108657836914,0.028038453310728073,-0.23823148012161255,0.09060044586658478,0.056267641484737396,0.04940108209848404,0.019645990803837776
0.3615562915802002,0.03452353551983833,-0.2622644305229187,0.10204470902681351,0.06427863240242004,0.04634927958250046,0.023079270496964455
0.38161563873291016,0.03643091395497322,-0.30041199922561646,0.11463340371847153,0.0722896158695221,0.05207141116261482,0.02841992862522602
0.4017171859741211,0.03833829239010811,-0.3286411762237549,0.12531471252441406,0.07801175117492676,0.05703059583902359,0.03032730519771576
0.42177700996398926,0.04329747334122658,-0.3706035017967224,0.13942931592464447,0.08869306743144989,0.061226826161146164,0.035667963325977325
0.4419121742248535,0.04634927958250046,-0.4007400572299957,0.1493476778268814,0.09555962681770325,0.06351567804813385,0.040245670825242996
0.4620373249053955,0.04787518084049225,-0.4343098998069763,0.16308079659938812,0.10509651154279709,0.06351567804813385,0.042153049260377884
0.4820594787597656,0.048638131469488144,-0.4705500900745392,0.17605096101760864,0.11234454810619354,0.07305257022380829,0.04444190114736557
0.5021412372589111,0.05092698708176613,-0.4968718886375427,0.18825818598270416,0.12149996310472488,0.07305257022380829,0.046730753034353256
0.5222117900848389,0.05130846053361893,-0.534637987613678,0.20313572883605957,0.13179980218410492,0.07915617525577545,0.049782559275627136
0.542304277420044,0.05092698708176613,-0.5594338774681091,0.212672621011734,0.1363775134086609,0.08258945494890213,0.053215838968753815
0.5624716281890869,0.05359731614589691,-0.5888075232505798,0.22602425515651703,0.14591439068317413,0.08335240930318832,0.05436026677489281
0.5824933052062988,0.05359731614589691,-0.613603413105011,0.23594263195991516,0.1512550562620163,0.0883115902543068,0.05741206929087639
0.6025989055633545,0.056267641484737396,-0.6353475451469421,0.248531311750412,0.15926603972911835,0.08525978773832321,0.059319447726011276
0.622622013092041,0.056267641484737396,-0.6586175560951233,0.2603570520877838,0.1646067053079605,0.08869306743144989,0.061226826161146164
0.6427147388458252,0.058175019919872284,-0.6731135845184326,0.27065691351890564,0.16956588625907898,0.0871671661734581,0.06427863240242004
0.6628580093383789,0.058175019919872284,-0.6891355514526367,0.2817196846008301,0.17643244564533234,0.08907453715801239,0.06504157930612564
0.6828920841217041,0.058175019919872284,-0.698291003704071,0.290112167596817,0.1802472025156021,0.09060044586658478,0.06618601083755493
0.7029685974121094,0.06008239835500717,-0.7055390477180481,0.30003052949905396,0.18749523162841797,0.08945601433515549,0.06580453366041183
0.7230572700500488,0.06046387553215027,-0.7127870321273804,0.3084229826927185,0.19169145822525024,0.09021896868944168,0.06733043491840363
0.7431247234344482,0.06237125024199486,-0.7154573798179626,0.31681543588638306,0.1977950781583786,0.0871671661734581,0.06809338182210922
0.7631707191467285,0.06389715522527695,-0.7185091972351074,0.32520791888237,0.20313572883605957,0.09136339277029037,0.06771191209554672
0.7833740711212158,0.06580453366041183,-0.7185091972351074,0.33283740282058716,0.20809490978717804,0.09212634712457657,0.06923781335353851
0.8034255504608154,0.06885633617639542,-0.7177462577819824,0.3412298858165741,0.2149614691734314,0.09365224838256836,0.06847485899925232
0.8235194683074951,0.06961929053068161,-0.7169833183288574,0.34695202112197876,0.21953918039798737,0.09670405089855194,0.06961929053068161
